Compound,Compound_ID,Accepted,Adducts,Formula,Score,Fragmentation_Score,Mass_Error_ppm,Isotope_Similarity,Theoretical_Isotope_Distribution,Link,Description,Neutral_mass_Da,mz,Charge,Retention_time_min,Reason_of_identification,Number_of_identifications,Maximum_score,Second_highest_score,HYG_001,HYG_002,HYG_003,HYG_004,HYG_005,HYG_006,HYG_008,HYG_009,HYG_010,HYG_011,HYG_012,HYG_013,HYG_014,HYG_015,HYG_016,HYG_017,HYG_018,HYG_019,HYG_020,HYG_021,HYG_022,HYG_023,HYG_024,HYG_025,HYG_026,HYG_027,HYG_028,HYG_029,HYG_030,HYG_031,HYG_032,HYG_033,HYG_034,HYG_035,HYG_036,HYG_037,HYG_038,HYG_039,HYG_040,HYG_041,HYG_042,HYG_043,HYG_044,HYG_045,HYG_046,HYG_047,HYG_048,HYG_049,HYG_050,HYG_051,HYG_052,HYG_053,HYG_054,HYG_055,HYG_056,HYG_057,HYG_058,HYG_059,HYG_060,HYG_061
0.93_413.2481m/z,CSID65328315,*,M+H-2H2O,C29H36O4,34.4,0,1.387676196,73.69167974,100 - 31.9 - 5.75 - 0.752,http://nonlinear.com/redirect/outbound?p=chemspider&param=65328315,"Methyl 2,2,4,4-tetramethyl-3-pentanyl 2,4-dibenzyl-2,3-pentadienedioate",NA,413.2481291,1,0.932616667,Only identification found,1,34.4,34.4,9579.29458,8848.582843,6190.129351,5590.727628,3822.243217,4821.14835,6394.645741,3764.876046,4827.603757,7572.397049,1876.864934,10428.66997,12171.69547,2.785543548,3123.402057,5356.551229,22523.52212,981.2486444,10937.87798,13112.01677,3105.268167,6207.558529,2298.365703,19954.74856,8337.970086,11155.24335,3048.561455,11508.37316,3027.021955,9469.133562,4902.521735,0,4654.189449,7748.506958,33622.4061,12048.50044,4842.610723,8261.463009,3515.730351,5126.953859,6599.951462,3808.31272,11185.91079,5096.938987,5442.394093,8224.135426,5849.350783,5316.609234,2652.432915,4266.908094,21968.7138,26841.52241,34563.5681,0,54860.9732,12660.11225,5.991061646,5587.378472,5078.308276,4293.565042
0.94_834.7427m/z,CSID24846882,*,M+NH4,C47H97N2O6P,35.7,0,0.551552437,79.30727396,100 - 52.9 - 15 - 2.98 - 0.464,http://nonlinear.com/redirect/outbound?p=chemspider&param=24846882,N-tetracosanoylsphinganine-1-phosphocholine,NA,834.742701,1,0.936416667,Only identification found,1,35.7,35.7,0,226.0276775,0,404.5011921,0,0,41.7616272,0,0,0,395.9648094,32.25418091,45.30509746,40138.07952,0,1241.495209,0,0,0,0,1002.917021,0,0,0,0,0,0,0,97.80700684,150.7109793,0,897.4844131,230.5499287,0,0,0,0,0,0,0.64494456,51.45538521,0,0,0,2277.682637,97.59811401,893.1974783,0,158.9956665,0,83.32565403,62.52670336,21.57241821,0,0,0,0,0,285.2120991,0.375683357
0.95_501.3807m/z,CSID65326961,*,M+Na,C32H50N2O,33.6,0,-1.695126342,69.82430171,100 - 36 - 6.48 - 0.782,http://nonlinear.com/redirect/outbound?p=chemspider&param=65326961,(E)-1-{4-[(2-Octyldodecyl)oxy]phenyl}-2-phenyldiazene,NA,501.3807237,1,0.947816667,Only identification found,1,33.6,33.6,0,0,0,0,0,27.61442147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.285626998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.731381882,0,0,0
0.96_358.2456m/z,CSID2015973,*,M+H-2H2O,C26H36NP,34.4,0,2.347159032,75.02838684,100 - 28.9 - 4.02 - 0.359,http://nonlinear.com/redirect/outbound?p=chemspider&param=2015973,DavePhos,NA,358.2456071,1,0.959233333,Only identification found,1,34.4,34.4,0,0,0,0,0,637.5772076,0,0,0,0,0.075886691,0,0,0,0,0,0,0.095638571,0,0,0,0,0,0,0,21.86309047,36.15324267,0,0.046728613,0,2.971537001,0,1.086443904,0,0,0,0,0.335274742,0,0,0,1.891765408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.419807173,0
0.97_248.0226m/z,CSID34448632,*,M+H,C8H9NO6S,39.1,0,1.013714636,96.93754314,100 - 10.2 - 6.22 - 0.56 - 0.107,http://nonlinear.com/redirect/outbound?p=chemspider&param=34448632,N-[2-Hydroxy-4-(sulfooxy)phenyl]acetamide,NA,248.0225848,1,0.96685,Only identification found,1,39.1,39.1,0,0,0,0,0,10844.99496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.98_421.3568m/z,CSID13104,*,2M+H,C12H22N2O,35.7,0,7.424793587,86.86987707,100 - 14 - 1.11,http://nonlinear.com/redirect/outbound?p=chemspider&param=13104,N-nitrosodicyclohexylamine,NA,421.3568234,1,0.97825,Only identification found,1,35.7,35.7,0,0,0,0,0,160.826828,0,0,0,0,0,0,4.05269488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.754112848
0.98_1083.4315m/z,CSID21169179,*,2M+H,C28H28ClN9O,33.1,0.0194,2.928473628,68.76818292,100 - 33.9 - 37.8 - 11.5 - 1.91 - 0.216,http://nonlinear.com/redirect/outbound?p=chemspider&param=21169179,(4-{[9-(3-Chlorophenyl)-2-{[2-(1H-imidazol-4-yl)ethyl]amino}-9H-purin-6-yl]amino}phenyl)(1-piperidinyl)methanone,NA,1083.431514,1,0.97825,Only identification found,1,33.1,33.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.98_598.0052m/z,CSID29305409,*,M+K,C15H10F17NO2,37.1,0,-3.456608528,89.72708402,100 - 16.8 - 1.73 - 0.133,http://nonlinear.com/redirect/outbound?p=chemspider&param=29305409,"3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-Heptadecafluorodecyl N-2-propyn-1-ylglycinate",NA,598.0052337,1,0.98205,Only identification found,1,37.1,37.1,0,0,0,0,0,4.650749638,0,0,0,0,0,0,0,141.7674976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.98_726.1396m/z,CSID167649,*,M+NH4,C20H26N10O15P2,29.2,0,0.442036473,46.770867,100 - 26.2 - 6.38 - 1.07 - 0.161,http://nonlinear.com/redirect/outbound?p=chemspider&param=167649,"Bis{[(2R,3S,4R,5R)-5-(2-amino-6-oxo-3,6-dihydro-9H-purin-9-yl)-3,4-dihydroxytetrahydro-2-furanyl]methyl} dihydrogen diphosphate",NA,726.1395715,1,0.98205,Only identification found,1,29.2,29.2,0,0,0,0,0,1670.056869,0,0,0,0,0,0,0,0,15.46505737,0,252.4710549,0,0,0,0,0,0,23.84503078,0,0,0,0,0,11.24765935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.98_735.1686m/z,CSID74886629,*,M+K,C35H36O15,36.1,0,0.021684723,80.54034382,100 - 38.8 - 10.4 - 2.09 - 0.35,http://nonlinear.com/redirect/outbound?p=chemspider&param=74886629,"2-(6-Carboxy-5-{3-[3-(2,4-dihydroxyphenyl)propanoyl]-2,6-dihydroxyphenyl}-3-methyl-3-cyclohexen-1-yl)-5-hydroxyphenyl hexopyranosiduronic acid",NA,735.1685932,1,0.98205,Only identification found,1,36.1,36.1,0,0,0,0,0,1428.801197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.70330811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
