Compound,Compound_ID,Accepted,Adducts,Formula,Score,Fragmentation_Score,Mass_Error_ppm,Isotope_Similarity,Theoretical_Isotope_Distribution,Link,Description,Neutral_mass_Da,mz,Charge,Retention_time_min,Reason_of_identification,Number_of_identifications,Maximum_score,Second_highest_score,HYG_001,HYG_002,HYG_003,HYG_004,HYG_005,HYG_006,HYG_008,HYG_009,HYG_010,HYG_011,HYG_012,HYG_013,HYG_014,HYG_015,HYG_016,HYG_017,HYG_018,HYG_019,HYG_020,HYG_021,HYG_022,HYG_023,HYG_024,HYG_025,HYG_026,HYG_027,HYG_028,HYG_029,HYG_030,HYG_031,HYG_032,HYG_033,HYG_034,HYG_035,HYG_036,HYG_037,HYG_038,HYG_039,HYG_040,HYG_041,HYG_042,HYG_043,HYG_044,HYG_045,HYG_046,HYG_047,HYG_048,HYG_049,HYG_050,HYG_051,HYG_052,HYG_053,HYG_054,HYG_055,HYG_056,HYG_057,HYG_058,HYG_059,HYG_060,HYG_061
5.18_267.0520n,HMDB0304884,*,"2M-H, 2M+Hac-H",C10H10ClN5O2,33.9,0.136,-1.268542182,70.7610711,100 - 12.8 - 33.1 - 4.18 - 0.379,http://nonlinear.com/redirect/outbound?p=hmdb&param=HMDB0304884,Cenobamate,267.0519635,593.117778,1,5.184133333,Only identification found,1,33.9,33.9,0,0,0,3457.585824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.5892329,0,0,0,1873.674152,0,0,0,0,0
2.96_240.0757n,HMDB0032559,*,"M+Cl, 2M-H",C10H12N2O5,36.6,0,4.423685382,87.95817153,100 - 11.9 - 1.67 - 0.143,http://nonlinear.com/redirect/outbound?p=hmdb&param=HMDB0032559,"(±)-2-(1-Methylpropyl)-4,6-dinitrophenol",240.0756835,275.0450848,1,2.958733333,Only identification found,1,36.6,36.6,522.2836876,464.7488871,309.1945496,310.4980764,142.5925455,0,495.3908563,238.9113469,271.6269083,380.8920736,0,127.4562378,483.7200608,0,15.20593262,0,188.9585132,397.9371166,83.87924194,49.18420506,35.92301989,155.2306509,0,116.0553436,0,571.2933245,0,0,133.7829733,0,68.20886421,225.447526,0,0,282.6244202,0,0,122.8590698,0,0,999.4699945,235.8572235,591.791975,163.1074991,696.6961575,934.0388536,12.65001779,664.2008657,63.56059265,225.1381531,101.4532979,0,484.8554604,0,176.7058864,0,19.10820007,37.83358765,285.082768,0
8.18_559.3518n,HMDB0253970,*,"M-H2O-H, M-H",C33H45N5O3,38.7,2.44,-0.707687066,92.14527936,100 - 38.2 - 7.7 - 1.09 - 0.12,http://nonlinear.com/redirect/outbound?p=hmdb&param=HMDB0253970,LANEPITANT,559.3518445,540.3340034,1,8.17605,Only identification found,1,38.7,38.7,135273.4175,129726.3015,119904.4682,67792.19565,154477.5073,135674.9517,148964.612,151672.9134,128644.4738,145035.5482,113547.4271,76719.42427,84326.14781,101829.8139,138787.1253,154938.3528,156298.1846,132526.7728,147103.639,105862.4209,115111.9732,141956.1127,145906.7496,129134.0887,141565.509,125393.2502,153373.6235,70966.67107,112503.6714,100407.4571,141028.6733,112577.07,67343.80151,115139.8992,82123.87091,95082.59978,112526.0051,109390.2066,137391.2043,116532.9942,183316.3661,139401.2453,130570.2989,142306.3831,89446.50778,119326.0599,73278.40438,112774.2811,98899.72303,131416.3159,42374.65655,149556.6605,87021.86679,97146.27186,41525.59799,112493.2126,84748.27297,132755.5138,113806.1862,69803.93201
9.41_504.2038n,HMDB0015016,*,"M-H2O-H, M-H",C22H30Cl2N10,31.7,0,1.200131448,60.09352997,100 - 27.8 - 67.6 - 18.1 - 12.6 - 3.05 - 0.393,http://nonlinear.com/redirect/outbound?p=hmdb&param=HMDB0015016,Chlorhexidine,504.2038015,503.1965251,1,9.407633333,Only identification found,1,31.7,31.7,201.1431864,246.2652518,66.02888774,179.3051495,165.5359269,258.9002565,175.7994519,111.289513,60.03089952,89.66451979,133.1391153,102.4905244,354.7136867,355.8843455,136.3269345,239.7745613,412.0093367,15.04515727,95.80572099,392.6226519,116.5476025,87.21505799,69.44018138,475.0516246,32.39820879,121.1670551,119.9728112,11.75326538,26.02879286,138.6484754,0,130.8103874,45.50094557,166.7027736,344.0428991,112.3294656,0,76.06284293,94.47479963,339.0361548,53.75513717,50.59863281,182.7480917,167.3335544,236.4682066,101.4551795,209.1630523,134.4755051,14.5105896,0,314.6531845,142.2953339,278.5222998,250.377237,162.9111323,435.3536391,388.0741749,37.4893873,10.87092543,442.1173606
5.95_483.0743n,HMDB0259598,*,"M-H, M+Hac-H",C21H22ClNO8S,34,2.41,-2.443231809,70.350048,100 - 24.4 - 41 - 9.49 - 3.17 - 0.576,http://nonlinear.com/redirect/outbound?p=hmdb&param=HMDB0259598,Clopidogrel acyl glucuronide,483.0742851,482.0670087,1,5.954466667,Only identification found,1,34,34,0,0.000376361,0,0,0,0.028499115,0,0,0,0,0.071196358,0,0.023782698,0.963844535,0,0,0.083082705,0.769434716,0,0.108733856,0,0,3.46895275301271e-05,0.254631362,0.496786807,0,0.117538571,0.089402735,0,0,0,0,0,0,0,4.003006341,0,0,0.27909671,0.124967623,0.092089356,0.40607249,0,0,38.55980328,0,2.878778393,0,0,0,0.820230942,35.37873308,0.15555196,0.015444841,0,0.598467487,0,0,0,3.385218829
7.55_658.1157n,HMDB0038286,*,"M-H, M+Hac-H",C30H26O17,38.8,0,-2.041414355,96.5555107,100 - 33.4 - 8.89 - 1.73 - 0.288,http://nonlinear.com/redirect/outbound?p=hmdb&param=HMDB0038286,Eujambin,658.1156559,657.1083794,1,7.551233333,Only identification found,1,38.8,38.8,0,0,0,0,0,0,0,0,0,0,0,17421.44368,271509.6138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123856.4666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.19_518.1411n,HMDB0038776,*,"M-H, 2M-H",C25H26O12,40.1,7.43,-2.553454094,96.10087527,100 - 27.8 - 6.18 - 1 - 0.139,http://nonlinear.com/redirect/outbound?p=hmdb&param=HMDB0038776,Medicarpin 3-O-(6'-malonylglucoside),518.1411032,517.1338268,1,5.187933333,Only identification found,1,40.1,40.1,0.005642633,0,0,39628.89346,8.619509043,0,0,0,0,0,0,0,0,0,0,0,0,0.008104926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056448945,0,0,0,1.346320083,0,0,0,0,0,0,0,374.5229076,0.003141619,32040.17051,0,0,0,0,0
6.27_408.2409n,HMDB0254148,*,"M+Hac-H, M+Cl",C25H32N2O3,39.8,21.6,-1.017961563,78.86023765,100 - 28.3 - 4.46 - 0.509,http://nonlinear.com/redirect/outbound?p=hmdb&param=HMDB0254148,Lofentanilum,408.2408773,443.2102786,1,6.266383333,Only identification found,1,39.8,39.8,379.1235274,491.7754065,2079.373748,1529.565934,909.6920969,115.6782987,812.1145022,345.1963771,815.6160734,556.8401049,380.5754136,509.9845419,741.7447328,18.27899807,368.2729062,795.4622611,155.1982188,381.4517633,2215.387535,45.85778856,239.3470784,1056.475666,184.6854433,187.1516957,633.6731939,453.1430081,237.304381,70.31924867,415.9090166,143.815506,566.610075,101.76679,50.70343788,406.4952545,129.5007454,199.6904548,287.3110937,137.9820549,492.8734408,25.10827589,246.6143239,1382.227327,288.419798,110.9882183,575.383605,1652.593237,268.2246683,1393.439298,214.7875373,758.1609124,437.994551,84.53490221,658.9679551,117.9691411,170.8903325,86.8684082,225.5779119,122.2330359,1109.744211,76.22309301
9.44_413.2943n,HMDB0062332,*,"M-H, M+Cl",C26H39NO3,38.4,2.36,3.155083406,93.18754401,100 - 29 - 4.68 - 0.544,http://nonlinear.com/redirect/outbound?p=hmdb&param=HMDB0062332,N-Docosahexaenoyl GABA,413.2942981,412.2870217,1,9.438066667,Only identification found,1,38.4,38.4,13707.95014,32910.09041,13198.077,29766.1502,10181.28259,13092.2634,15477.78955,11146.69407,6133.499693,10776.79952,7404.726093,219.9067584,555.072074,920.9429655,4442.180498,3647.616572,6528.890206,9013.456837,12092.75765,1360.936259,2279.521278,3047.2458,3136.930919,2126.954552,4071.131655,3242.721833,5230.467839,859.0471925,2899.858893,719.1605741,10725.3592,3101.642867,15516.72916,4150.13325,2920.776592,1592.168959,0,2222.971847,2451.44963,1108.664126,4776.524166,6889.720943,2283.126344,1616.549544,7806.498531,19828.78234,49825.10219,4765.034873,976.1077635,0,891.2274144,5465.897701,804.4695076,1611.291566,1331.998049,2686.021571,1463.162466,12744.06244,2682.195157,981.1997479
5.17_244.0488n,HMDB0244205,*,"M+Hac-H, M+Cl",C12H8N2O4,39.3,5.61,1.434092291,92.64063998,100 - 14 - 1.72 - 0.15,http://nonlinear.com/redirect/outbound?p=hmdb&param=HMDB0244205,"1,4-Diacetoxy-2,3-dicyanobenzene",244.0487567,245.0487567,1,5.172716667,Only identification found,1,39.3,39.3,12.344575,23.67799434,13.66638272,18.36530113,5.856025565,51.10391235,13.51685528,11.25119538,12.36508296,5.306265957,21.35478402,955.4069479,3787.818203,23254.74968,3.697778653,7.451947881,50.83467596,5.834414712,20.15321495,0,3.033110741,12.94902723,18.22905414,0,4.655004039,28.7537782,7.300439129,13.32900999,35.18482451,167.9242753,5.044569411,8.572274847,24.20180341,19.99907905,1.508330981,912.2924537,8.581455189,0.469567412,0.004348874,5262.354094,20.00199115,6.784883653,11.08687906,6.921253242,610.1510653,4.571971328,4.079796343,0,19.88606799,29.29310968,67.48966085,4185.489759,172.3768916,1475.858894,926.3436945,0,0,102.9908076,20.06708829,0
